id,name,type,is_seed
bishabosha/enhanced-string-interpolator,enhanced-string-interpolator,repo,False
bishabosha/dotty,dotty,repo,False
bishabosha/enum-extensions,enum-extensions,repo,False
bishabosha/goofy,goofy,repo,False
bishabosha/HashCode2017,HashCode2017,repo,False
bishabosha/docs.scala-lang,docs.scala-lang,repo,False
bishabosha/html-to-scala-converter,html-to-scala-converter,repo,False
bishabosha/instanceofBenchmark,instanceofBenchmark,repo,False
bishabosha/improvement-proposals,improvement-proposals,repo,False
bishabosha/intent,intent,repo,False
bishabosha/izumi-reflect,izumi-reflect,repo,False
bishabosha/JavaExperiments,JavaExperiments,repo,False
bishabosha/Launchpad2017,Launchpad2017,repo,False
bishabosha/mainargs,mainargs,repo,False
bishabosha/Mesa,Mesa,repo,False
bishabosha/metals-zed,metals-zed,repo,False
bishabosha/highlight.js,highlight.js,repo,False
bishabosha/mill-moduledefs,mill-moduledefs,repo,False
bishabosha/metals,metals,repo,False
bishabosha/mill-scalafix,mill-scalafix,repo,False
bishabosha/mill,mill,repo,False
bishabosha/mini-c-lang,mini-c-lang,repo,False
bishabosha/ops-mirror,ops-mirror,repo,False
bishabosha/minispire,minispire,repo,False
bishabosha/ox,ox,repo,False
bishabosha/prog-course,prog-course,repo,False
bishabosha/quest,quest,repo,False
bishabosha/realworld-tapir-zio,realworld-tapir-zio,repo,False
bishabosha/ResumeX,ResumeX,repo,False
bishabosha/Run-For-Good,Run-For-Good,repo,False
bishabosha/scala-3-migration-guide,scala-3-migration-guide,repo,False
bishabosha/scala-builder,scala-builder,repo,False
bishabosha/scala-advent-of-code,scala-advent-of-code,repo,False
bishabosha/scala-migrat3,scala-migrat3,repo,False
bishabosha/scala-cli,scala-cli,repo,False
bishabosha/sbt-website,sbt-website,repo,False
bishabosha/scala,scala,repo,False
bishabosha/scala-native-async-io,scala-native-async-io,repo,False
bishabosha/scala-lang,scala-lang,repo,False
bishabosha/scala-xml,scala-xml,repo,False
bishabosha/scala.epfl.ch,scala.epfl.ch,repo,False
bishabosha/scala3-full-stack-example,scala3-full-stack-example,repo,False
bishabosha/scala3.g8,scala3.g8,repo,False
bishabosha/scalablytyped-fail-demo-sjs-1.18,scalablytyped-fail-demo-sjs-1.18,repo,False
bishabosha/scaladays-2025,scaladays-2025,repo,False
bishabosha/scala-steward,scala-steward,repo,False
bishabosha/scalacheck,scalacheck,repo,False
bishabosha/scalapy,scalapy,repo,False
bishabosha/scalafix,scalafix,repo,False
bishabosha/scalar-2025,scalar-2025,repo,False
bishabosha/scalasql,scalasql,repo,False
bishabosha/sourcecode,sourcecode,repo,False
bishabosha/spire-scala3,spire-scala3,repo,False
bishabosha/tasty-interpreter,tasty-interpreter,repo,False
bishabosha/spire,spire,repo,False
bishabosha/tasty-query,tasty-query,repo,False
bishabosha/tasty-reader-compat-testkit,tasty-reader-compat-testkit,repo,False
bishabosha/tastytest,tastytest,repo,False
bishabosha/toml-scala,toml-scala,repo,False
bishabosha/todo,todo,repo,False
bishabosha/toolkit,toolkit,repo,False
bishabosha/tree-sitter-scala,tree-sitter-scala,repo,False
bishabosha/upickle,upickle,repo,False
byeonggukgong/30ms,30ms,repo,False
bishabosha/zed,zed,repo,False
byeonggukgong/algorithm,algorithm,repo,False
byeonggukgong/algorithm-6th,algorithm-6th,repo,False
byeonggukgong/byeonggukgong,byeonggukgong,repo,False
bishabosha/zio,zio,repo,False
byeonggukgong/pyvultr,pyvultr,repo,False
byeonggukgong/til,til,repo,False
byeonggukgong/docs.scala-lang,docs.scala-lang,repo,False
byeonggukgong/python-guide,python-guide,repo,False
byeonggukgong/scala-lang,scala-lang,repo,False
byeonggukgong/tomatotimer,tomatotimer,repo,False
byeonggukgong/integrations-core,integrations-core,repo,False
byeonggukgong/wc2018-todolist,wc2018-todolist,repo,False
byeonggukgong/wc2018-project,wc2018-project,repo,False
ashawley/ABCDEFGHPPP-scala,ABCDEFGHPPP-scala,repo,False
ashawley/activator-slick-multidb,activator-slick-multidb,repo,False
ashawley/acyclic,acyclic,repo,False
ashawley/ai-memo,ai-memo,repo,False
ashawley/algs,algs,repo,False
ashawley/angularjs-bootstrap-jasmine,angularjs-bootstrap-jasmine,repo,False
ashawley/aws-lambda-github-merge,aws-lambda-github-merge,repo,False
ashawley/aws-lambda-scala-hello-world,aws-lambda-scala-hello-world,repo,False
ashawley/bc125at-scala,bc125at-scala,repo,False
ashawley/base64,base64,repo,False
ashawley/boner-2008,boner-2008,repo,False
ashawley/bug-1338,bug-1338,repo,False
ashawley/ccssi-xml,ccssi-xml,repo,False
ashawley/ccssi-elasticsearch,ccssi-elasticsearch,repo,False
ashawley/akka,akka,repo,False
ashawley/cobertura,cobertura,repo,False
ashawley/cobertura-maven-plugin,cobertura-maven-plugin,repo,False
ashawley/community-builds,community-builds,repo,False
ashawley/coffeelint,coffeelint,repo,False
ashawley/curryhoward,curryhoward,repo,False
ashawley/crossTest,crossTest,repo,False
ashawley/dotty-scala-xml-example,dotty-scala-xml-example,repo,False
ashawley/example-ionic4-app,example-ionic4-app,repo,False
ashawley/dotty-example-project,dotty-example-project,repo,False
ashawley/egit-github,egit-github,repo,False
ashawley/finatra-redis,finatra-redis,repo,False
ashawley/fansi,fansi,repo,False
ashawley/finatra-spark,finatra-spark,repo,False
ashawley/fastparse,fastparse,repo,False
ashawley/docs.scala-lang,docs.scala-lang,repo,False
ashawley/game-of-life,game-of-life,repo,False
ashawley/github-api-scala,github-api-scala,repo,False
ashawley/geny,geny,repo,False
ashawley/framework,framework,repo,False
ashawley/grizzled-scala,grizzled-scala,repo,False
ashawley/hello-sns-sqs-serverless,hello-sns-sqs-serverless,repo,False
ashawley/ims-lti,ims-lti,repo,False
ashawley/guard-jasmine,guard-jasmine,repo,False
ashawley/ionic-app,ionic-app,repo,False
ashawley/ionic-weather,ionic-weather,repo,False
ashawley/jdk6-tls-test,jdk6-tls-test,repo,False
ashawley/jdk8-tls-test,jdk8-tls-test,repo,False
ashawley/jackson-module-scala,jackson-module-scala,repo,False
ashawley/jgit-scalacheck,jgit-scalacheck,repo,False
ashawley/karma-issue-2373,karma-issue-2373,repo,False
