id,name,type,is_seed
BusraBulut222/Cell-Lineage-EPFL,Cell-Lineage-EPFL,repo,False
conda-forge/conda-forge-pinning-feedstock,conda-forge-pinning-feedstock,repo,False
pyimreg/pyimreg.github.com,pyimreg.github.com,repo,False
conda-forge/staged-recipes,staged-recipes,repo,False
SwissBIAS/SwissBIAS.github.io,SwissBIAS.github.io,repo,False
amsikking/thorlabs_MCM3000,thorlabs_MCM3000,repo,False
alert-geomaterials/2022-doctoral-school,2022-doctoral-school,repo,False
alert-geomaterials/2023-doctoral-school,2023-doctoral-school,repo,False
ibois-epfl/augmented-stacking,augmented-stacking,repo,False
ArjanCodes/betterpython,betterpython,repo,False
mapmanager/brightest-path-lib,brightest-path-lib,repo,False
AdaptiveMotorControlLab/CellSeg3D,CellSeg3D,repo,False
fmx143/Crowdair,Crowdair,repo,False
dask/dask-tutorial,dask-tutorial,repo,False
AddMELAB/dash_drm,dash_drm,repo,False
lmoroney/dlaicourse,dlaicourse,repo,False
lewagon/dotfiles,dotfiles,repo,False
sdsc-ordes/gimie,gimie,repo,False
sierrayit/global_policy_scrapers,global_policy_scrapers,repo,False
AddMELAB/LRC-MRM_grain_segmentation_demo,LRC-MRM_grain_segmentation_demo,repo,False
AddMELAB/LRC_MRM_grain_segmentation_minimalistic,LRC_MRM_grain_segmentation_minimalistic,repo,False
executablebooks/meta,meta,repo,False
napari/napari,napari,repo,False
napari/napari-workshop-template,napari-workshop-template,repo,False
tlambert03/napari-omero,napari-omero,repo,False
MIC-DKFZ/nnUNet,nnUNet,repo,False
AddMELAB/pydrm_GUI,pydrm_GUI,repo,False
WardLT/pymatgen,pymatgen,repo,False
jhupiterz/research-analytics,research-analytics,repo,False
Ribbit-Network/ribbit-network-dashboard,ribbit-network-dashboard,repo,False
lewagon/setup,setup,repo,False
aachman98/Sorcar,Sorcar,repo,False
keeeto/super_tomo_py,super_tomo_py,repo,False
AddMELAB/voronoi_IPF,voronoi_IPF,repo,False
lewagon/webpack-boilerplate,webpack-boilerplate,repo,False
BIOP/BIOP-desktop,BIOP-desktop,repo,False
justinbois/bootcamp,bootcamp,repo,False
brain-score/brain-score.web,brain-score.web,repo,False
themattinthehatt/daart,daart,repo,False
NeLy-EPFL/DeepFly3D,DeepFly3D,repo,False
rjdmoore/fictrac,fictrac,repo,False
dalab/lecture_cil_public,lecture_cil_public,repo,False
mlpc-ucsd/LETR,LETR,repo,False
matplotlib/napari-matplotlib,napari-matplotlib,repo,False
IBT-FMI/SAMRI,SAMRI,repo,False
NeLy-EPFL/utils2p,utils2p,repo,False
zarr-developers/zarr-python,zarr-python,repo,False
IBT-FMI/COSplay,COSplay,repo,False
IBT-FMI/calciumfMRI,calciumfMRI,repo,False
IBT-FMI/COSgen,COSgen,repo,False
IBT-FMI/NeuroGentooProject,NeuroGentooProject,repo,False
IBT-FMI/StereotaXYZ,StereotaXYZ,repo,False
IBT-FMI/gebuilder,gebuilder,repo,False
IBT-FMI/mouse-brain-templates,mouse-brain-templates,repo,False
IBT-FMI/ABI-expression-data_generator,ABI-expression-data_generator,repo,False
IBT-FMI/ABI-connectivity-data_generator,ABI-connectivity-data_generator,repo,False
IBT-FMI/micropython,micropython,repo,False
IBT-FMI/mockup_mouse-brain-templates,mockup_mouse-brain-templates,repo,False
richtefee/MIRCatPy,MIRCatPy,repo,False
richtefee/napari-spero,napari-spero,repo,False
richtefee/napari-z-plotter,napari-z-plotter,repo,False
joanrue/baby_wishlist,baby_wishlist,repo,False
